step,bbox_diag,beta_hpwl,loss,lr,x0,x1,x2,x3,x4,x5,y0,y1,y2,y3,y4,y5
0,53450.425781,1.000000e-5,1.285439e6,1000.000000,20000.000000,-14747.374023,1748.504028,12168.786133,-19694.273438,16875.099609,0,-13509.809570,19923.421875,-15872.008789,3483.618164,10734.571289
1,50625.976562,1.003845e-5,1.278680e6,999.993835,19000.000000,-13747.374023,2748.503906,11168.786133,-18694.273438,15875.099609,999.999817,-12509.809570,18923.421875,-14872.008789,2483.618408,9734.571289
2,47852.261719,1.007705e-5,1.269914e6,999.975342,18061.421875,-12748.508789,3729.991699,10172.386719,-17696.089844,16193.772461,1892.898193,-11511.167969,17925.509766,-13874.480469,1492.551758,8817.022461
4,43432.777344,1.015469e-5,1.263491e6,999.901306,16401.314453,-10760.602539,5529.370605,8202.981445,-15705.583984,17633.359375,3432.270020,-9534.182617,15942.424805,-11894.975586,-357.574829,7257.372070
8,36125.179688,1.031177e-5,1.237648e6,999.605286,15221.330078,-8107.209961,7063.531250,4455.407227,-11682.744141,18316.669922,1875.265869,-7801.880859,12074.082031,-8052.116211,489.038544,8794.622070
16,29905.144531,1.063327e-5,1.177031e6,998.421814,17278.396484,-7715.571777,10158.745117,-2886.226562,-8301.761719,14830.378906,1204.745728,-5930.648926,9560.416992,-2190.841064,-236.291168,8999.839844
32,27083.716797,1.130664e-5,1.095485e6,993.698181,14281.842773,-6695.759766,9973.721680,-3005.176758,-8089.855469,15113.934570,2225.901611,-5185.995605,8782.252930,-232.578400,-355.944397,7625.557129
64,24445.294922,1.278400e-5,958836.812500,974.969360,13839.372070,-6969.736328,8850.996094,-1448.959595,-6689.809570,14175.139648,2237.132568,-5030.569336,7127.338867,585.597534,303.118164,7235.916504
128,20778.898438,1.634305e-5,740423.000000,902.662048,12428.706055,-5119.643066,7272.100098,285.513245,-5086.761719,12503.204102,1232.770386,-4409.352539,6458.340820,1316.184326,1236.082031,6599.637695
256,16642.890625,2.670956e-5,428179.781250,652.757812,11583.097656,-3926.476562,6237.643555,1079.140015,-4102.956055,11450.240234,-1465.025635,-1226.241943,4096.764160,3844.281494,4075.456543,3928.152832
512,16265.547852,7.134004e-5,133121.187500,146.929688,11390.880859,-3972.451416,6259.467285,1158.265503,-3936.753418,11405.741211,-1302.671021,-1263.474854,3996.312256,3952.480469,3952.801514,3958.933105
600,16160.891602,9.999999e-5,84799.109375,100.000000,11334.055664,-3880.678711,6221.406738,1176.913330,-3912.454102,11360.618164,-1293.257690,-1308.705444,3974.066162,3962.960693,3971.372559,3966.452393
