step,grad,lg,lg_target,loss,lr,return_loss_db
0,-5.371504e7,8.670241e-9,1.734048e-8,0.630915,1.734048e-10,2.000291
1,-5.537309e7,8.843646e-9,1.734048e-8,0.621458,1.734048e-10,2.065886
2,-5.707404e7,9.017167e-9,1.734048e-8,0.611702,1.734047e-10,2.134600
4,-6.060317e7,9.364870e-9,1.734048e-8,0.591248,1.734044e-10,2.282300
8,-6.813686e7,1.006499e-8,1.734048e-8,0.546211,1.734033e-10,2.626394
16,-8.422840e7,1.149864e-8,1.734048e-8,0.436948,1.733987e-10,3.595699
32,-9.178912e7,1.453529e-8,1.734048e-8,0.151780,1.733802e-10,8.187853
64,2.305746e7,1.785356e-8,1.734048e-8,0.005951,1.733063e-10,22.254434
128,582233.500000,1.735329e-8,1.734048e-8,3.726979e-6,1.730108e-10,54.286431
256,1104.466187,1.734051e-8,1.734048e-8,1.341104e-11,1.718329e-10,108.725374
512,0,1.734048e-8,1.734048e-8,0,1.671803e-10,120.000000
1024,0,1.734048e-8,1.734048e-8,0,1.494999e-10,120.000000
2048,0,1.734048e-8,1.734048e-8,0,9.243159e-11,120.000000
4000,0,1.734048e-8,1.734048e-8,0,1.734048e-11,120.000000
