step,grad,loss,lr,neff_a
0,-196.220673,0.374745,0.001000,2.350000
1,-160.299530,0.194018,9.999999e-4,2.351000
2,-99.134964,0.063890,9.999995e-4,2.351990
4,41.645714,0.010668,9.999978e-4,2.353761
8,112.178925,0.083565,9.999912e-4,2.354697
16,-71.795502,0.032420,9.999645e-4,2.352357
32,-10.453658,6.654712e-4,9.998579e-4,2.353123
64,1.096039,7.310695e-6,9.994317e-4,2.353263
128,0.094005,5.377766e-8,9.977280e-4,2.353251
256,-0.004960,1.497054e-10,9.909348e-4,2.353250
512,-0.004960,1.497054e-10,9.641043e-4,2.353250
1024,-0.017327,1.827054e-9,8.621440e-4,2.353250
2048,-0.017327,1.827054e-9,5.330393e-4,2.353250
4000,-0.017327,1.827054e-9,1.000000e-4,2.353250
