seed,max_abs_units,max_abs_LSB,RMS_units,train_ms,infer_us,final_loss
1,0.04163,10.658,0.00666,9163,609,5.928e-5
2,0.03763, 9.634,0.00654,8842,609,4.215e-5
3,0.03893, 9.965,0.00654,9566,609,4.098e-5
4,0.03901, 9.988,0.00656,10099,609,4.090e-5
5,0.05046,12.919,0.00696,8430,609,4.616e-5
6,0.03705, 9.485,0.00648,9707,609,4.572e-5
7,0.04710,12.057,0.00695,8953,609,4.042e-5
8,0.04084,10.454,0.00675,8928,609,4.895e-5
9,0.04470,11.444,0.00699,9046,609,4.682e-5
10,0.04293,10.991,0.00689,9044,609,4.475e-5
